pdb id,rna frac,structure type,lig type,lig mass,site frac,elements,grid size
6K32,0,0,0,1,0,1,0
6Q57,1,1,1,0,0,1,1
6XL1,0,1,0,1,0,1,1
5UED,1,0,0,0,0,1,1
6KOP,0,0,0,1,0,1,0
5JBG,0,1,0,1,0,1,1
6L5N,0,1,0,1,0,0,0
6XMG,0,1,0,0,0,1,0
6E84,1,1,1,1,1,1,1
216D,1,1,1,1,1,1,1
5XJ2,0,1,1,1,0,1,0
3Q51,1,1,0,0,0,1,1
4FAU,1,1,0,1,0,1,0
4UY8,1,1,0,0,0,1,0
6M75,0,1,0,1,0,1,0
1DFU,1,1,0,0,0,1,1
6SIC,0,1,0,0,0,1,0
4TRA,1,1,0,0,0,1,1
1DUQ,1,1,0,0,0,1,1
4W5O,0,1,1,0,0,1,0
5UEE,1,0,0,0,0,1,0
4MEG,1,1,0,1,0,1,0
1G4Q,1,1,0,1,0,1,1
1DNX,1,1,0,1,0,1,1
4Z4G,0,1,1,0,0,1,0
5MMI,1,1,0,0,0,1,0
6RT7,0,1,0,0,0,1,1
6I84,0,0,0,1,0,1,0
4QM6,0,1,0,1,0,1,1
5K8H,1,1,0,0,0,1,1
2P7D,1,1,0,0,0,1,0
2JA8,0,0,0,1,0,0,0
3U56,0,1,0,0,0,1,1
3TRZ,0,1,0,1,0,1,0
5EV2,0,1,1,0,0,0,0
6OZF,0,1,1,1,0,1,0
2R92,0,0,0,0,0,1,0
1N77,0,1,0,1,0,1,0
3BWP,1,1,0,0,0,1,0
7OAV,1,1,1,1,1,1,1
2E9T,0,0,0,0,0,1,0
3BBI,1,1,0,0,0,1,0
4KYY,1,1,0,0,0,1,0
3D2G,1,1,1,1,1,1,1
6PMO,1,1,0,0,0,1,1
2HOM,1,1,1,1,1,1,0
5M0H,1,1,0,0,0,1,1
DRB018,1,1,1,1,1,1,1
1DUL,1,1,0,0,0,0,1
3AOI,0,0,0,1,0,1,0
4WJ4,0,1,0,0,0,1,0
6YHS,1,1,0,0,0,1,0
6D6V,0,1,1,1,0,1,0
6NUD,0,1,0,1,0,1,0
4LQ3,0,0,0,1,0,1,1
4V1O,0,0,0,1,0,1,0
6D6Q,0,1,0,1,0,1,0
4Z7L,0,1,0,0,0,1,0
6G18,0,1,0,0,0,1,0
6TNN,1,1,0,0,0,1,0
4NFP,1,1,1,0,0,1,0
6NY5,0,1,0,0,0,1,0
5Y85,1,1,0,1,0,1,0
3OL8,0,0,0,0,0,1,0
6XAV,0,0,0,1,0,1,0
3C44,1,1,1,1,1,1,1
1YYK,0,1,0,0,0,1,0
5GAD,1,1,0,1,0,1,0
3PU4,0,1,0,0,0,1,0
6ZM2,0,1,1,1,0,1,1
4W5Q,0,1,1,0,0,1,0
1QU3,0,1,0,1,0,1,0
6OZO,0,1,1,1,0,1,1
2JJA,1,1,0,0,0,1,1
3QSY,0,1,0,1,0,1,1
6N6E,0,1,0,0,0,1,1
6ZX8,1,1,0,0,0,1,1
1I94,1,1,0,0,0,1,0
6XLJ,0,0,0,1,0,1,0
3FHT,0,1,0,1,0,1,0
7AAV,0,1,1,1,0,1,0
4XLN,0,0,0,1,0,1,0
6DNR,1,1,0,0,0,1,0
5JS2,0,1,1,0,0,1,1
4IO9,1,1,1,0,0,1,0
3KOA,0,0,0,0,0,1,1
4J39,0,1,0,0,0,1,1
3BO3,1,1,0,0,0,1,0
3SKI,1,1,1,1,1,1,0
6XB7,1,1,1,1,1,1,1
2MQV,1,0,0,0,0,1,0
5E17,0,0,0,1,0,1,0
4A3K,0,0,0,1,0,0,0
4TNA,1,1,0,0,0,1,1
5HAB,0,1,0,0,0,1,0
7ELC,0,0,0,0,0,1,0
3FOZ,0,1,0,0,0,1,0
2GQ5,1,1,0,0,0,1,1
3CW1,0,1,0,0,0,1,0
3G4S,1,1,1,1,1,1,0
5VZ8,0,0,0,1,0,1,1
6N5P,1,1,1,1,1,1,0
3L26,0,0,0,0,0,1,1
1JZX,1,1,1,1,1,1,0
4CXG,1,1,0,0,0,1,0
3V7E,1,1,1,1,1,1,0
3O3G,0,1,0,1,0,1,1
4DV6,1,1,1,1,1,1,0
3GLP,1,1,0,0,0,1,1
6J6G,0,1,1,1,0,1,0
2QKB,0,0,0,1,0,0,0
3DIR,1,1,1,0,0,1,1
2C4R,0,1,0,0,0,1,0
2XS5,0,1,0,0,0,1,1
1IBK,1,1,1,1,1,1,0
5GAH,1,1,0,0,0,1,0
6OKK,1,1,1,1,1,1,0
6S0K,1,1,0,0,0,1,0
7M8A,0,0,0,1,0,1,0
6IFN,0,1,0,0,0,1,0
3DIX,1,1,0,0,0,1,1
5LTA,0,1,0,1,0,1,0
2OUE,1,1,0,0,0,1,0
5DE5,1,1,0,0,0,1,1
5ELH,0,1,0,0,0,1,0
2JLV,0,0,0,1,0,1,1
6P2H,1,1,1,1,1,0,0
4G6P,1,1,0,0,0,1,0
4RBY,1,1,0,0,0,1,1
2R7W,0,0,0,1,0,1,0
6THN,0,1,0,1,0,1,0
5KVJ,1,1,0,0,0,1,1
6YTF,1,1,1,1,1,1,0
1ZHO,0,1,0,0,0,0,0
3KNA,0,0,0,0,0,1,1
2DB3,0,1,0,1,0,1,0
4MSR,1,1,0,0,0,1,1
2HOP,1,1,1,1,1,1,0
6WQN,1,1,1,1,1,1,0
1F78,1,1,0,0,0,1,1
4MDX,0,1,0,1,0,1,1
6QCS,0,0,0,0,0,1,0
5K7C,1,1,0,1,0,1,1
4XNR,1,1,1,0,0,1,1
6DLS,1,1,1,1,1,1,0
4RUM,1,1,0,0,0,1,0
6OZR,0,1,1,1,0,1,1
3GX2,1,1,1,1,1,1,0
6XLM,0,0,0,1,0,1,0
2I91,0,1,0,0,0,1,0
1LAJ,0,1,0,0,0,1,0
3MUR,1,1,1,1,1,1,1
4KI6,0,0,0,1,0,1,0
5EEV,0,0,0,0,0,1,1
6E53,0,1,0,1,0,1,0
6YYT,0,0,0,0,0,1,0
2B8S,1,1,0,0,0,1,0
4X4P,0,1,0,0,0,1,0
5L2L,0,1,0,0,0,1,0
1XPE,1,1,0,0,0,1,0
7CYQ,0,0,0,1,0,1,0
1LNT,1,1,0,0,0,0,1
6TFF,1,1,1,1,1,1,1
4IG8,0,0,0,1,0,1,1
1RAW,1,1,0,1,0,1,1
4WZM,0,0,0,0,0,1,1
4A3F,0,0,0,1,0,0,0
7KEF,0,0,0,1,0,1,0
488D,1,1,0,0,0,1,1
5DI2,1,1,0,1,0,1,0
2WJ8,0,1,0,0,0,1,0
1ICG,1,1,0,0,0,1,1
2ZNI,0,1,0,0,0,1,1
1ZL3,0,1,0,0,0,1,0
5C4X,0,0,0,1,0,1,0
6HLQ,0,0,0,1,0,1,0
3GOT,1,1,1,0,0,1,1
4LVX,1,0,0,1,0,1,1
5USA,0,1,0,1,0,0,0
4NGG,0,1,0,0,0,1,1
7K9D,1,1,0,1,0,1,0
6ZQ9,1,1,0,0,0,1,1
5HBY,1,0,0,1,0,1,1
2QQP,0,1,0,0,0,1,0
5JBH,0,0,0,1,0,1,0
6LT7,0,1,0,0,0,0,0
5B2O,0,1,0,1,0,1,0
4LF4,1,1,1,1,1,1,0
2O43,1,1,1,0,0,1,0
6PB4,0,0,0,1,0,1,0
3CGR,1,1,0,0,0,1,1
1VC6,1,1,0,0,0,1,0
5JC7,0,0,0,1,0,1,0
6I1K,0,1,0,1,0,1,0
4X66,1,1,1,1,1,1,0
6SJD,0,1,0,0,0,1,1
1M5O,1,1,0,0,0,0,0
6ID0,0,1,1,1,0,1,0
5F0Q,0,0,0,1,0,0,1
1U6B,1,1,0,0,0,1,0
6C27,1,1,0,0,0,1,1
6KQH,0,0,0,1,0,1,0
4W5T,0,1,1,0,0,1,0
1Y3O,1,1,0,0,0,0,0
4YB0,1,1,1,1,1,1,0
2ZY6,1,1,0,0,0,1,0
6SZV,0,0,0,1,0,1,0
6UET,1,1,1,1,1,1,0
6DOX,0,1,0,1,0,1,1
5NY8,1,1,1,0,0,0,1
5C9H,0,1,0,0,0,1,0
3NMA,0,0,0,0,0,1,1
6MDZ,0,1,1,0,0,1,0
7BV2,0,0,0,0,0,1,0
6VFF,0,1,1,1,0,1,0
5H9E,0,1,0,1,0,1,0
2J28,1,1,0,0,0,1,0
3G8S,1,1,0,0,0,1,0
397D,1,1,0,0,0,1,1
6KLH,0,0,0,0,0,1,0
4WFB,1,1,1,1,1,1,0
3OXM,1,1,0,0,0,1,1
5USG,0,1,0,0,0,0,0
1ZBH,0,1,0,1,0,1,0
7KJW,0,0,0,1,0,1,0
1IHA,1,1,0,0,0,0,1
5WNQ,1,1,1,1,1,1,0
5FJ8,0,0,0,1,0,1,0
2DQQ,1,1,0,0,0,1,1
5F8G,0,0,0,0,0,1,1
2G91,1,1,0,0,0,0,0
1Y77,0,0,0,1,0,1,0
4QLM,1,1,1,1,1,1,1
1Y26,1,1,1,0,0,1,1
6DP5,0,1,0,1,0,1,1
3CD6,1,1,0,0,0,1,0
5FKH,1,1,1,1,1,1,1
6DTA,0,0,0,1,0,1,0
2XO0,1,1,1,0,0,1,1
3CIY,0,1,0,0,0,1,0
4KR6,0,1,0,0,0,1,1
5FK1,1,1,1,1,1,1,1
6YMI,1,1,0,1,0,0,0
1TFY,0,1,0,1,0,1,0
3BSO,0,0,0,1,0,1,1
3PF4,0,0,0,0,0,1,1
4UER,0,1,1,1,0,1,0
429D,1,1,0,0,0,1,1
1KOD,1,1,1,0,0,1,1
6ZV6,0,1,0,1,0,1,0
5UH9,0,0,0,1,0,1,0
1Y6S,1,1,0,0,0,1,0
DRBB15,1,1,1,1,1,1,1
4QK9,1,1,1,1,1,1,0
6C8D,1,0,0,1,0,1,1
2UUB,1,1,1,1,1,1,0
6SWD,1,1,0,0,0,1,0
2HGH,1,0,0,0,0,1,1
2ZH5,0,1,0,0,0,1,1
2KX8,1,1,0,0,0,1,1
5AJ3,0,1,1,1,0,1,0
4MCE,1,1,0,0,0,1,1
4G7O,0,0,0,1,0,1,0
6K0A,0,1,0,0,0,1,0
3H3V,0,0,0,1,0,1,0
6C66,0,1,0,1,0,1,0
2RD2,0,1,1,1,0,1,1
3B0V,0,1,1,1,0,0,0
7C06,0,1,0,0,0,1,0
2NVT,0,0,0,1,0,1,0
4WC6,0,0,0,1,0,1,0
7D58,0,0,0,1,0,0,0
2XBM,0,1,1,1,0,1,0
2XXA,0,1,0,1,0,1,0
2EEW,1,1,1,0,0,1,1
3CUN,1,1,0,0,0,0,0
5JVG,1,1,1,0,0,1,0
5MFX,0,1,1,0,0,1,1
1VC5,1,1,0,0,0,1,1
6NME,0,1,0,0,0,1,0
3GOG,1,1,1,0,0,1,1
3B0U,0,1,1,1,0,1,1
4ERL,1,0,0,0,0,1,0
3AKZ,0,1,1,1,0,1,0
4QIL,0,1,0,0,0,1,1
3OXJ,1,1,0,0,0,1,1
5CD1,0,1,1,1,0,1,0
1K9W,1,1,0,0,0,1,0
2YDH,1,1,1,1,1,1,1
3CCV,1,1,0,0,0,1,0
1VBY,1,1,0,0,0,1,0
6E8U,1,1,1,0,0,1,1
5UDK,0,1,0,0,0,1,0
3FO6,1,1,1,0,0,1,1
1KC8,1,1,1,1,1,1,0
1FYP,1,1,1,1,1,1,1
6IJ2,0,1,0,0,0,1,0
4K4T,0,0,0,0,0,1,0
1XNR,1,1,1,1,1,1,0
6U7Y,1,1,0,0,0,1,1
2DEU,0,1,0,0,0,1,0
1S77,0,0,0,1,0,1,1
4RJ1,1,1,0,0,0,1,1
2CV0,0,1,0,0,0,1,0
2VNU,0,1,0,1,0,0,0
4U3R,1,1,0,0,0,1,1
1F7H,1,1,0,0,0,1,1
2GIS,1,1,1,1,1,1,0
3QRP,0,1,1,1,0,1,1
4Z4D,0,1,1,0,0,1,0
1JBT,0,1,0,0,0,1,0
2H1M,1,1,0,0,0,0,1
4YYE,0,1,1,1,0,1,1
6LSH,0,0,0,0,0,1,1
6OVR,0,0,0,1,0,1,0
4AL5,0,1,0,0,0,1,1
7A9L,1,1,0,0,0,1,1
1GTS,0,1,0,1,0,1,1
3PTX,0,1,0,0,0,1,0
2E2I,0,0,0,1,0,1,0
7EAF,1,1,1,1,1,1,1
1O9M,1,1,0,0,0,1,1
4R4V,1,1,0,0,0,1,0
6RCL,0,1,0,0,0,1,0
5LL6,1,1,0,1,0,0,0
6DMV,0,1,0,1,0,1,1
7BPG,1,1,0,0,0,0,1
6S6B,0,1,0,0,0,1,0
6XBU,0,0,0,1,0,1,1
5BTM,1,1,0,0,0,1,0
6DOM,0,1,0,1,0,1,1
5FLX,1,1,0,0,0,1,0
3MDI,0,1,0,0,0,1,1
1N35,0,0,0,1,0,1,0
2JUK,1,1,1,0,0,1,1
5V2H,1,1,0,0,0,0,1
1H4Q,0,1,1,1,0,1,0
3ICE,0,0,0,1,0,0,0
7KA0,0,1,0,0,0,1,0
3B58,1,1,0,0,0,1,0
6WAN,0,1,0,0,0,1,0
4U6L,1,1,0,1,0,1,1
3OWZ,1,1,0,0,0,1,0
3CUL,1,1,0,0,0,0,0
4WKJ,1,1,0,1,0,1,1
5F6C,0,1,0,0,0,1,0
6LDI,0,0,0,1,0,1,0
3I2R,1,1,0,0,0,1,0
2ZM5,0,1,0,0,0,0,0
5U0Q,1,1,0,1,0,1,1
6EXV,0,0,0,1,0,1,0
5T16,0,1,0,0,0,1,0
6K3K,0,1,0,1,0,1,1
1YI2,1,1,1,0,0,1,0
4ENB,1,1,0,0,0,1,1
5GMK,0,1,1,1,0,1,0
4J5V,0,1,0,0,0,1,1
6UFJ,1,1,0,0,0,1,0
5USE,0,1,0,1,0,0,0
3F73,0,1,0,1,0,1,0
3CPW,1,1,1,1,1,1,0
2B57,1,1,1,0,0,1,1
5TF6,0,1,0,0,0,1,0
1VQN,1,1,0,0,0,1,0
2BGG,0,1,0,0,0,1,0
1JBS,0,1,0,0,0,1,0
1YJW,1,1,0,0,0,1,0
1N36,1,1,0,0,0,1,0
3L25,0,0,0,0,0,1,1
5DAR,0,1,0,0,0,1,0
4YLN,0,0,0,1,0,1,0
2G9C,1,1,1,0,0,1,1
2PLY,0,1,0,0,0,1,0
2HW8,0,1,1,0,0,0,0
3H5X,0,0,0,1,0,1,1
3CCR,1,1,0,0,0,1,0
7KL3,0,1,0,0,0,1,0
1JTW,1,1,0,0,0,1,1
7DOL,0,1,0,0,0,1,1
4ZLD,0,1,0,0,0,1,1
DRBB09,1,1,1,0,0,1,1
4AOB,1,1,1,1,1,1,1
6RA4,0,1,0,0,0,1,1
3Q50,1,1,1,0,0,1,1
1YLS,1,1,1,1,1,0,0
4F8U,1,1,1,1,1,1,1
5SZE,0,1,0,0,0,1,1
5KL8,0,1,0,0,0,1,1
1YYO,0,1,0,0,0,1,0
2DQO,1,1,0,0,0,1,1
5HP2,0,1,1,1,0,1,0
5EF0,0,0,0,0,0,1,1
6DOP,0,1,0,1,0,1,1
2PPB,0,0,0,1,0,1,0
1HQ1,1,1,0,0,0,1,1
1NUJ,1,1,0,0,0,1,1
5DM6,1,1,0,0,0,1,0
2OZB,0,1,0,0,0,1,0
5VZH,0,0,0,1,0,1,1
3S49,1,1,0,0,0,0,0
1Z79,1,1,0,0,0,1,0
1DNT,1,1,0,1,0,1,1
6ZN5,0,1,0,0,0,1,0
6WY2,1,1,0,0,0,1,1
4KHP,1,1,1,1,1,1,0
6XUR,1,1,0,0,0,1,1
6DP9,0,1,0,1,0,1,1
1TN2,1,1,0,1,0,1,1
2GCV,1,1,0,0,0,1,0
4O9M,0,0,0,1,0,1,1
3LWO,0,1,0,0,0,0,0
5V0K,1,0,0,1,0,1,1
1I2X,1,1,0,1,0,1,1
2OE5,1,1,1,1,1,1,1
5F8I,0,0,0,1,0,1,1
4E8M,1,1,0,1,0,1,0
2D2L,1,1,0,0,0,1,1
6K4P,0,1,0,1,0,1,0
4FRN,1,1,1,0,0,1,0
6YAL,0,1,0,1,0,0,0
4FYD,0,0,0,1,0,1,0
3T3N,0,1,0,0,0,1,0
4WFM,1,1,0,0,0,1,0
3SKZ,1,1,0,1,0,1,0
6XKI,0,1,1,1,0,1,1
4YCO,0,1,1,1,0,1,0
6N9V,0,0,0,1,0,1,0
5V3F,1,1,1,0,0,1,0
5EV4,0,1,0,0,0,0,1
6X4W,0,0,0,1,0,1,0
7DVQ,0,1,1,1,0,1,0
2I82,0,1,0,0,0,0,0
4JAH,1,1,0,0,0,0,1
5F8H,0,0,0,0,0,1,1
5MS0,0,0,0,1,0,1,0
7ELS,1,1,1,0,0,1,1
6D8O,1,1,0,0,0,1,0
6DTI,1,1,1,1,1,1,0
3ZJU,0,1,0,0,0,0,1
3IBK,1,1,0,0,0,0,1
4PHY,1,1,0,0,0,1,1
5AOX,1,1,0,0,0,1,0
5BTE,0,1,0,0,0,1,0
1Q2S,0,1,1,1,0,1,0
2ZHA,0,1,0,1,0,1,1
2CKY,1,1,1,1,1,1,0
7A9O,1,1,0,0,0,1,1
5FKD,1,1,1,1,1,1,1
4XWW,0,1,0,0,0,1,0
6ZCE,0,1,0,1,0,1,0
6D8F,0,1,0,1,0,1,0
4WAN,0,1,0,0,0,1,0
4D26,0,1,0,1,0,1,1
5VXQ,1,1,0,1,0,1,1
1YHQ,1,1,1,0,0,1,0
5VJB,1,1,0,1,0,0,0
6M6R,0,1,0,0,0,1,1
6DOA,0,1,0,1,0,1,1
6PZQ,0,1,0,0,0,1,0
4JYA,1,1,1,1,1,1,0
4A3B,0,0,0,1,0,0,0
4B3Q,0,0,0,1,0,1,0
2DVI,0,1,0,1,0,1,1
5DH7,1,1,0,1,0,1,0
5XZ1,1,1,1,1,1,1,1
6YLB,1,1,1,1,1,0,0
2EC0,0,0,0,0,0,1,0
5KAL,0,1,0,1,0,1,0
DRB006,1,1,1,1,1,1,1
6DV9,0,0,0,1,0,1,0
1I95,1,1,1,0,0,1,0
1ZBL,0,1,0,1,0,1,0
4KZE,0,1,0,0,0,1,0
6UEY,1,1,0,0,0,0,0
5ZRF,0,1,1,1,0,1,0
6N7P,0,1,1,0,0,1,0
5ZC9,0,1,1,1,0,1,0
6E8S,1,1,1,1,1,1,0
3G8T,1,1,1,1,1,1,0
6G2K,0,1,0,0,0,1,1
2PO1,0,1,0,0,0,1,1
5WNP,1,1,0,0,0,1,0
4OAU,0,1,0,1,0,1,0
5UNE,1,1,0,0,0,1,1
7B3B,0,0,0,0,0,1,0
5U31,0,1,0,1,0,0,0
5AWH,0,1,0,1,0,1,0
1HNX,1,1,1,1,1,1,0
1QCU,1,1,0,0,0,1,1
6KLB,0,1,0,0,0,1,0
4X6A,0,0,0,1,0,1,0
4OLB,0,1,0,0,0,1,1
2E2H,0,0,0,1,0,1,0
2XNR,0,0,0,0,0,1,1
1K01,1,1,1,1,1,1,0
6FLQ,0,0,0,1,0,1,0
4DUZ,1,1,1,1,1,1,0
6ASO,0,1,0,0,0,1,0
5DDR,1,1,0,0,0,1,1
4W5N,0,1,1,0,0,1,1
2HHH,1,1,1,1,1,1,0
3GES,1,1,1,0,0,1,1
5EEW,0,0,0,0,0,1,1
6FPX,0,1,0,0,0,1,1
3AMT,0,1,0,1,0,0,0
1M1K,1,1,1,0,0,1,0
3OTO,1,1,0,0,0,1,0
6P7M,0,1,0,0,0,1,0
4LX5,1,1,1,0,0,1,1
1NEM,1,1,0,0,0,1,1
6AHR,0,1,0,0,0,1,0
2DR2,0,1,0,0,0,1,0
6Y3G,1,1,0,0,0,1,1
4Q9R,0,1,1,1,1,1,0
6XLN,0,0,0,1,0,1,0
6D8M,1,1,0,0,0,1,0
6ICZ,0,1,1,1,0,1,0
6ZOJ,0,1,0,0,0,1,0
DRBB13,1,1,1,1,1,1,1
1H3E,0,1,1,1,0,1,0
3NJ6,1,1,0,0,0,1,1
5LMQ,1,1,0,0,0,1,0
5BJO,1,1,1,1,1,1,1
3SKW,1,1,1,1,1,1,1
6XAS,0,0,0,1,0,1,0
6G1S,0,1,0,0,0,1,0
7OAW,1,1,1,1,1,1,1
5HL7,1,1,1,1,1,1,0
5OIK,0,0,0,1,0,1,0
5Y88,0,1,1,1,0,1,0
3K0J,1,1,1,1,1,1,0
2QEX,1,1,0,1,0,1,0
2NVX,0,0,0,1,0,1,0
6AI6,0,1,0,1,0,1,0
6G19,0,1,0,1,0,1,0
3P4C,1,1,0,0,0,1,1
1HNW,1,1,1,1,1,1,0
5LR3,1,1,0,0,0,0,1
6E1U,1,1,1,1,1,1,1
3D0U,1,1,0,0,0,1,1
3FO4,1,1,1,0,0,1,1
6DDD,1,1,1,1,1,1,0
3J5L,1,1,1,0,0,1,0
6UBU,1,1,1,0,0,1,1
2O5I,0,0,0,1,0,1,0
2R93,0,0,0,0,0,1,0
6UV4,0,1,0,1,0,1,1
1NUV,1,1,0,0,0,1,1
4G9Z,0,1,0,0,0,1,1
1J1U,0,1,0,0,0,1,0
3ULD,0,1,0,1,0,1,1
2C0B,0,1,0,0,0,1,0
ARB002,1,1,0,0,0,1,1
4LVZ,1,0,0,0,0,1,1
4JNX,0,1,0,0,0,1,1
2L8H,1,1,0,0,0,1,0
1JBR,0,1,0,0,0,1,0
1N78,0,1,1,1,0,1,0
4DR3,1,1,1,1,1,1,0
4OI1,0,1,0,1,0,1,1
6BSG,0,1,1,1,0,1,0
6ZXH,0,1,0,1,0,1,0
6C8M,1,0,0,0,0,1,0
1ZJW,0,1,0,1,0,1,1
3ZD7,0,1,0,1,0,1,1
4ERD,0,1,0,0,0,0,0
4Q9Q,0,1,1,1,1,1,0
1O15,1,1,1,0,0,1,1
ARB005,1,1,1,0,0,1,1
2XZL,0,1,0,1,0,1,1
3SUX,1,1,1,1,1,1,0
5EF1,0,0,0,0,0,1,1
4KR3,0,1,0,1,0,1,0
3DIS,1,1,0,0,0,1,1
4NYG,1,1,1,1,1,1,1
3CF5,1,1,0,0,0,1,0
6PUN,0,1,0,0,0,1,0
4ALP,0,0,0,0,0,1,1
5NDH,1,1,0,0,0,0,1
6HCT,0,1,0,0,0,1,0
6NMD,0,1,0,0,0,1,0
