pdb id,rna frac,structure type,lig type,lig mass,site frac,elements,grid size,used for RNet,filter sum
6JJI,1,1,1,1,1,1,1,1,7
5FK4,1,1,1,1,1,1,1,1,7
DRB005,1,1,1,1,1,1,1,1,7
2ET5,1,1,1,1,1,1,1,1,7
2KD4,1,1,1,1,1,1,1,1,7
5FK6,1,1,1,1,1,1,1,1,7
2KXM,1,1,1,1,1,1,1,1,7
6QIV,1,1,1,1,1,1,1,1,7
3Q3Z,1,1,1,1,1,1,1,1,7
1FMN,1,1,1,1,1,1,1,1,7
DRD004,1,1,1,1,1,1,1,1,7
DRB007,1,1,1,1,1,1,1,1,7
3DS7,1,1,1,1,1,1,1,1,7
2N0J,1,1,1,1,1,1,1,1,7
3E5C,1,1,1,1,1,1,1,1,7
4P20,1,1,1,1,1,1,1,1,7
5DHB,1,1,1,1,1,1,1,1,7
6UP0,1,1,1,1,1,1,1,1,7
7D82,1,1,1,1,1,1,1,1,7
4KQY,1,1,1,1,1,1,1,1,7
1ZZ5,1,1,1,1,1,1,1,1,7
1Q8N,1,1,1,1,1,1,1,1,7
2F4T,1,1,1,1,1,1,1,1,7
DRBB16,1,1,1,1,1,1,1,1,7
2ET4,1,1,1,1,1,1,1,1,7
6BFB,1,1,1,1,1,1,1,1,7
6PQ7,1,1,1,1,1,1,1,1,7
6C64,1,1,1,1,1,1,1,1,7
DRBB17,1,1,1,1,1,1,1,1,7
5EME,1,1,1,1,1,1,1,1,7
6C65,1,1,1,1,1,1,1,1,7
DRBB14,1,1,1,1,1,1,1,1,7
217D,1,1,1,1,1,1,1,1,7
1MWL,1,1,1,1,1,1,1,1,7
3WRU,1,1,1,1,1,1,1,1,7
6V9B,1,1,1,1,1,1,1,1,7
2MXS,1,1,1,1,1,1,1,1,7
1UUI,1,1,1,1,1,1,1,1,7
4QLN,1,1,1,1,1,1,1,1,7
3SKL,1,1,1,1,1,1,1,1,7
DRB008,1,1,1,1,1,1,1,1,7
6QIR,1,1,1,1,1,1,1,1,7
4GPY,1,1,1,1,1,1,1,1,7
3E5F,1,1,1,1,1,1,1,1,7
6DLT,1,1,1,1,1,1,1,1,7
6OD9,1,1,1,1,1,1,1,1,7
6DLQ,1,1,1,1,1,1,1,1,7
2LWK,1,1,1,1,1,1,1,1,7
3MUV,1,1,1,1,1,1,1,1,7
5FJC,1,1,1,1,1,1,1,1,7
2A04,1,1,1,1,1,1,1,1,7
DRBB11,1,1,1,1,1,1,1,1,7
2M4Q,1,1,1,1,1,1,1,1,7
4JIY,1,1,1,1,1,1,1,1,7
6TF2,1,1,1,1,1,1,1,1,7
6WZS,1,1,1,1,1,1,1,1,7
5BTP,1,1,1,1,1,1,1,1,7
6UC9,1,1,1,1,1,1,1,1,7
6E81,1,1,1,1,1,1,1,1,7
4K32,1,1,1,1,1,1,1,1,7
1YRJ,1,1,1,1,1,1,1,1,7
5C45,1,1,1,1,1,1,1,1,7
5ZEJ,1,1,1,1,1,1,1,1,7
4TS2,1,1,1,1,1,1,1,1,7
6HAG,1,1,1,1,1,1,1,1,7
4F8V,1,1,1,1,1,1,1,1,7
3SLM,1,1,1,1,1,1,1,1,7
3E5E,1,1,1,1,1,1,1,1,7
5FK3,1,1,1,1,1,1,1,1,7
3NPQ,1,1,1,1,1,1,1,1,7
1UTS,1,1,1,1,1,1,1,1,7
2ET8,1,1,1,1,1,1,1,1,7
4XWF,1,1,1,1,1,1,1,1,7
7D7Z,1,1,1,1,1,1,1,1,7
6TFG,1,1,1,1,1,1,1,1,7
6WZR,1,1,1,1,1,1,1,1,7
5Z1H,1,1,1,1,1,1,1,1,7
7OA3,1,1,1,1,1,1,1,1,7
1I9V,1,1,1,1,1,1,1,1,7
5XI1,1,1,1,1,1,1,1,1,7
6VA4,1,1,1,1,1,1,1,1,7
7D7W,1,1,1,1,1,1,1,1,7
4GPX,1,1,1,1,1,1,1,1,7
6VA2,1,1,1,1,1,1,1,1,7
7OAX,1,1,1,1,1,1,1,1,7
5KX9,1,1,1,1,1,1,1,1,7
5FKE,1,1,1,1,1,1,1,1,7
333D,1,1,1,1,1,1,1,1,7
2KTZ,1,1,1,1,1,1,1,1,7
4K31,1,1,1,1,1,1,1,1,7
6TFE,1,1,1,1,1,1,1,1,7
6V9D,1,1,1,1,1,1,1,1,7
2ESI,1,1,1,1,1,1,1,1,7
3KNC,1,1,1,1,1,1,1,1,7
6JJH,1,1,1,1,1,1,1,1,7
DRBB19,1,1,1,1,1,1,1,1,7
6VA3,1,1,1,1,1,1,1,1,7
1UUD,1,1,1,1,1,1,1,1,7
7D12,1,1,1,1,1,1,1,1,7
3GX6,1,1,1,1,1,1,1,1,7
1NTB,1,1,1,1,1,1,1,1,7
3MUT,1,1,1,1,1,1,1,1,7
7A3Y,1,1,1,1,1,1,1,1,7
2KU0,1,1,1,1,1,1,1,1,7
6U89,1,1,1,1,1,1,1,1,7
3SKT,1,1,1,1,1,1,1,1,7
7D7Y,1,1,1,1,1,1,1,1,7
5FKF,1,1,1,1,1,1,1,1,7
